ART106E-01,3D Model Animation,30964,"Anderson,E.W.",E Baskin E102,MWF 05:20PM-07:45PM
ART106G-01,Immersive Nonfiction,45175,"Anderson,E.W.",E Baskin E102,MWF 02:40PM-05:05PM
ART108-01,Activate Media!,31144,"Bueno,C.",E Baskin E102,TuThSa 11:40AM-02:05PM
ART125-01,Enviro Art Studio,30963,"Altstatt,A.A.",E Baskin P108,MWF 12:00PM-02:25PM
ART133-01,Abstract Painting,31143,"Whipple,G.",E Baskin J101,TuThSa 11:40AM-02:05PM
ART152A-01,Photographic Book,30960,"Perry,K.C.",E Baskin E101,TuThSa 02:25PM-04:50PM
ART156-01,Project Devlop Photo,30958,"Perry,K.C.",E Baskin I200,TuThSa 11:40AM-02:05PM
ART164A-01,Screenprinting,30957,"Sanford,S.",E Baskin F101,TuThSa 09:00AM-11:25AM
ART168-01,Photo-Based Print,31050,"Lee,J.",E Baskin F101,MWF 02:40PM-05:05PM
ART181-01,Art Power & Politics,30956,"Hibbert-Jones,W.D.",E Baskin M101,MWF 12:00PM-02:25PM
ART190A-01,Writing for Artists,31046,"Palmer,L.",ClassroomUnit 001,TuTh 05:20PM-06:55PM
ART210B-01,PracBasedRsrch:Systems,30955,"Hibbert-Jones,W.D.",E Baskin A101,W 02:40PM-05:40PM
ART230-01,Theory and Practice,30954,"Martinez Leal,E.",Digital Arts 243,Tu 10:00AM-01:00PM
ART270B-01,ProjDevCritqII,30953,"Karlic,K.",E Baskin I200,F 12:00PM-05:00PM
ARTG80G-01,Vis Com Interaction,31066,"Wright,D.",Thim Lecture 001,TuTh 05:20PM-06:55PM
ARTG118-01,Char Creation in Games,31094,"Gregor,E.J.",Remote Instruction,TuTh 05:20PM-07:50PM
ARTG129-01,Spec Topic Game Des,45178,"Gillette,K.L.",Digital Arts 308,TuTh 11:40AM-01:15PM
ARTG129-02,Spec Topic Game Des,45205,"Swensen,E.A.",Digital Arts 308,MW 09:20AM-10:55AM
ARTG134-01,Spectacular Play,45217,"Ballard,P.",Digital Arts 308,MW 02:40PM-04:15PM
ARTG139-01,Q/T Art and Games,45226,"cardenas,m.",Digital Arts 308,TuTh 01:30PM-03:05PM
ARTG171-01,Game Design II,31004,"Duplantis,T.M.",Media Theater M110,TuTh 03:20PM-04:55PM
ARTG171-02,Game Design II,30309,"Gillette,K.L.",Digital Arts 308,TuTh 03:20PM-04:55PM
ASTR6-01,Space-Age Solr Sysm,31072,"Smith,G.H.",Thim Lecture 003,TuTh 08:00AM-09:35AM
ASTR9A-01,Intro Research Phys,31100,"Murray-Clay,R.",Sci & Engr Library 206,TuTh 01:30PM-03:05PM
ASTR10-01,Big Bang Planet Earth,31071,"Leauthaud,A.",Humn Lecture Hall,TuTh 09:50AM-11:25AM
ASTR117-01,Hi Energy Astrophys,31099,"Globus,N.",Earth&Marine B214,MWF 04:00PM-05:05PM
ASTR119-01,Intro Sci Computing,30951,"Bundy,K.A.",McHenry Lib 1340,TuTh 01:30PM-03:05PM
ASTR206-01,Research Mentoring,45166,"Guha Thakurta,P.",Sci & Engr Library 206,TuTh 01:30PM-03:05PM
ASTR220A-01,Stars and Planets I,30949,"Foley,R.J.",ISB 356,MWF 09:20AM-10:25AM
ASTR260-01,Instrument for Astr,30948,"Rockosi,C.M.",ISB 356,TuTh 01:30PM-03:05PM
ASTR292-01,Seminar,30947,"Guha Thakurta,P.",N. Sci Annex 101,W 10:40AM-11:45AM
BIOC100B-01,Biochemistry,31531,"Stone,M.D.",ClassroomUnit 001,MWF 09:20AM-10:25AM
BIOC163A-01,Quantum Mech/Spec BMB,31532,"Scott,W.G.",Soc Sci 1 110,MWF 10:40AM-11:45AM
BIOE20B-01,Developmt & Physiol,30391,"Dunkin,R.C.",Humn Lecture Hall,TuTh 03:20PM-04:55PM
BIOE20B-02,Developmt & Physiol,30382,"Dunkin,R.C.",Sci & Engr Library 206,TuTh 11:40AM-01:15PM
BIOE20C-01,Ecology & Evolution,30392,"Marinovic,B.B.",ClassroomUnit 002,TuTh 08:00AM-09:35AM
BIOE82-01,Intro Field Res/Con,30352,"Reilly,S.B.",Nat Sci 2 229,Tu 05:20PM-06:55PM
BIOE82-02,Intro Field Res/Con,30351,"Gong,A.",Nat Sci 2 229,Th 05:20PM-06:55PM
BIOE95-01,Seymour Ctr Docent,30350,"Staff",,Cancelled Cancelled
BIOE107-01,Ecology,30349,"Lyon,B.E.",CoastBio 110,MW 01:25PM-03:00PM
BIOE108-01,Marine Ecology,30344,"Carr,M.H.",CoastBio 110,TuTh 04:25PM-06:00PM
BIOE109-01,Evolution,30340,"Kelley,J.L.",Oakes Acad 105,TuTh 01:30PM-03:05PM
BIOE117-01,Botany Flower Plnts,30332,"Kay,K.M.",McHenry Lib 1340,TuTh 09:50AM-11:25AM
BIOE117L-01,Systemtc Botany Lab,30330,"Kay,K.M.",Thimann Lab 239,TuTh 12:00PM-02:00PM
BIOE117L-02,Systemtc Botany Lab,31753,"Kay,K.M.",Thimann Lab 239,TuTh 02:30PM-04:30PM
BIOE122-01,Invertebrat Zoology,30331,"Marinovic,B.B.",CoastBio 110,TuTh 10:25AM-12:00PM
BIOE122L-01,Invertebrt Zool Lab,30317,"Marinovic,B.B.",Lg Discovery 128,Tu 01:00PM-05:00PM
